INF,MEAN,SUP
1296.195280,1297.195435,1298.195589
1296.666476,1297.490414,1298.314353
1296.109833,1296.904351,1297.698870
1295.846528,1296.836120,1297.825712
1295.987601,1296.940791,1297.893980
1295.353560,1296.513260,1297.672959
1296.258964,1296.997859,1297.736754
1296.637482,1297.471576,1298.305670
1295.747670,1296.743099,1297.738529
1296.020216,1297.006302,1297.992388
1297.130148,1298.236773,1299.343398
1295.890665,1296.672120,1297.453575
1296.519425,1297.226809,1297.934194
1296.347716,1297.131858,1297.916000
1296.006433,1296.782103,1297.557773
1294.958121,1295.745545,1296.532968
1297.117518,1297.829262,1298.541007
1295.839321,1296.900969,1297.962617
1296.911208,1297.739219,1298.567230
1295.889697,1297.064411,1298.239125
1296.305221,1297.257687,1298.210153
1296.335055,1297.046677,1297.758300
1295.693205,1296.480986,1297.268766
1296.266171,1297.030668,1297.795165
1297.011270,1297.928018,1298.844766
1296.500007,1297.364890,1298.229772
1296.632465,1297.282484,1297.932502
1296.634826,1297.458868,1298.282910
1295.957996,1296.789675,1297.621353
1296.466442,1297.240584,1298.014725
1296.184827,1297.174593,1298.164359
1295.831100,1296.791758,1297.752415
1296.764884,1297.564047,1298.363209
1297.530372,1298.244360,1298.958349
1297.332291,1298.244697,1299.157103
1296.299730,1297.794131,1299.288532
1295.325989,1296.881904,1298.437820
1296.270706,1297.106739,1297.942771
1295.926604,1296.964246,1298.001889
1297.144844,1298.098998,1299.053152
1296.049728,1297.018158,1297.986587
1295.898621,1296.744329,1297.590037
1295.688562,1297.034116,1298.379669
1296.246232,1297.062029,1297.877827
1296.759070,1297.656492,1298.553913
1296.835486,1297.542470,1298.249454
1295.862244,1296.600551,1297.338858
1295.896100,1296.636397,1297.376693
1296.823538,1298.017333,1299.211129
1294.812543,1295.869851,1296.927159
1295.867414,1296.885463,1297.903512
1295.853487,1296.908003,1297.962519
1297.043965,1297.651673,1298.259382
1296.528195,1297.417693,1298.307192
1296.794256,1297.418119,1298.041982
1296.425842,1297.082296,1297.738750
1297.771554,1298.711132,1299.650709
1296.742145,1297.666157,1298.590169
1295.693272,1296.506414,1297.319556
1295.011228,1296.360719,1297.710210
1296.046126,1297.366828,1298.687531
1295.727485,1296.916267,1298.105050
1296.493366,1297.543515,1298.593665
1296.882742,1297.596444,1298.310147
1296.396565,1297.127914,1297.859264
1296.591307,1297.577876,1298.564444
1296.600960,1297.577249,1298.553537
1295.838227,1296.741273,1297.644319
1295.993658,1296.684578,1297.375499
1296.096214,1297.053930,1298.011645
1295.837307,1296.852424,1297.867541
1296.617526,1297.380039,1298.142551
1297.535019,1298.592085,1299.649151
1296.055589,1296.935704,1297.815819
1296.611356,1297.456703,1298.302051
1295.388376,1296.207785,1297.027195
1295.729199,1296.676197,1297.623194
1296.988811,1297.693814,1298.398816
1296.427309,1297.208368,1297.989428
1297.098634,1298.231884,1299.365135
1296.751132,1297.755008,1298.758884
1295.372163,1296.477064,1297.581965
1296.303458,1297.320060,1298.336662
1297.068953,1298.031850,1298.994747
1297.201888,1297.902123,1298.602357
1295.642692,1296.688852,1297.735012
1297.012018,1298.163073,1299.314127
1295.821549,1297.158574,1298.495598
1295.489289,1296.603473,1297.717656
1295.939720,1296.760158,1297.580597
1297.320595,1298.127458,1298.934320
1296.165813,1297.213975,1298.262136
1296.066661,1296.818069,1297.569477
1297.123631,1297.776936,1298.430240
1295.298343,1296.172320,1297.046297
1296.347501,1297.025521,1297.703540
1296.583147,1297.553905,1298.524664
1296.609955,1297.658667,1298.707380
1296.704527,1297.544759,1298.384992
1294.776843,1296.046037,1297.315230
1296.940845,1297.474766,1298.008687
1296.299018,1297.286711,1298.274404
1296.432432,1297.117581,1297.802730
1296.145625,1297.229593,1298.313561
1297.342290,1298.317467,1299.292645
1295.045764,1296.019024,1296.992284
1295.831025,1296.787222,1297.743420
1295.856130,1296.850674,1297.845218
1296.472986,1297.155652,1297.838318
1295.675497,1296.571376,1297.467255
1296.432285,1297.613621,1298.794956
1295.618794,1296.352930,1297.087065
1296.240216,1296.872565,1297.504914
1295.947756,1297.103449,1298.259141
1294.660037,1295.878494,1297.096951
1296.095415,1296.975177,1297.854939
1296.453321,1297.268452,1298.083582
1297.469507,1298.098206,1298.726905
1296.197472,1297.264903,1298.332334
1296.638578,1297.779960,1298.921343
1294.933674,1295.829442,1296.725211
1296.553675,1297.554438,1298.555201
1296.368910,1297.041287,1297.713663
1295.724318,1297.130027,1298.535736
1295.852591,1296.755384,1297.658177
1297.032043,1297.853671,1298.675299
1295.466318,1296.263468,1297.060619
1295.950982,1296.670124,1297.389266
1296.853220,1297.553518,1298.253816
1295.918759,1296.706737,1297.494715
1295.173369,1296.119064,1297.064759
1296.536526,1297.431278,1298.326030
1296.606356,1297.917916,1299.229475
1296.562731,1297.237338,1297.911945
1295.720444,1296.794094,1297.867744
1295.812775,1296.796133,1297.779491
1296.335400,1297.218242,1298.101084
1295.133831,1296.487400,1297.840968
1296.703998,1297.255453,1297.806908
1296.965021,1297.621181,1298.277341
1296.420637,1297.217547,1298.014458
1296.651572,1297.537796,1298.424020
1297.764203,1298.330880,1298.897558
1295.201111,1296.136671,1297.072232
1296.370326,1297.420072,1298.469817
1296.294857,1297.120944,1297.947030
1295.728902,1296.493472,1297.258042
1296.858783,1297.625558,1298.392332
1296.478349,1297.744659,1299.010970
1295.779819,1296.665716,1297.551613
1296.824150,1297.429263,1298.034377
1295.766887,1296.867435,1297.967983
1296.577732,1297.275603,1297.973475
1296.396502,1297.255715,1298.114927
1296.740200,1297.702631,1298.665062
1296.335712,1297.240688,1298.145664
1296.278550,1297.404564,1298.530578
1295.620889,1296.723216,1297.825542
1296.400306,1297.318593,1298.236881
1295.770598,1297.074852,1298.379107
1296.600642,1297.743836,1298.887029
1296.197968,1296.941297,1297.684626
1296.470100,1297.255920,1298.041739
1295.014506,1295.994131,1296.973756
1295.458707,1296.469882,1297.481057
1296.647290,1297.318297,1297.989304
1296.807045,1297.681180,1298.555314
1295.941005,1296.904409,1297.867814
1295.401755,1296.133328,1296.864901
1296.103420,1296.990814,1297.878209
1297.139776,1298.257780,1299.375785
1295.360549,1296.349966,1297.339383
1296.294018,1297.137077,1297.980137
1294.945418,1296.107877,1297.270336
1297.195994,1298.019460,1298.842925
1295.638086,1296.491096,1297.344106
1296.824039,1297.455929,1298.087819
1296.514679,1297.575671,1298.636663
1296.801930,1297.581430,1298.360930
1296.703320,1297.237732,1297.772144
1297.074699,1297.610040,1298.145382
1296.315544,1297.118382,1297.921221
1297.066274,1297.645751,1298.225228
1295.672067,1296.706287,1297.740508
1295.660305,1296.657843,1297.655382
1297.054138,1297.910081,1298.766023
1295.583021,1296.860850,1298.138679
1295.795596,1296.984954,1298.174312
1295.861566,1296.863863,1297.866160
1295.857908,1296.708207,1297.558507
1296.614283,1297.456564,1298.298845
1296.960189,1297.728020,1298.495850
1296.679941,1297.419596,1298.159251
1296.791767,1297.709844,1298.627921
1296.526803,1297.560775,1298.594746
1295.848363,1296.860259,1297.872155
1295.699002,1296.890574,1298.082147
1296.109357,1296.954219,1297.799082
1296.920388,1298.097108,1299.273827
1295.761641,1296.788779,1297.815916
1297.088393,1298.184301,1299.280208
1296.138468,1296.915826,1297.693185
1296.988265,1297.787753,1298.587241
1295.647114,1296.572590,1297.498066
1297.402719,1298.166665,1298.930612
1296.223740,1297.311370,1298.399001
1296.017677,1296.776734,1297.535791
1295.760077,1296.600726,1297.441374
1295.555136,1296.367892,1297.180649
1296.552577,1297.311616,1298.070656
1296.160751,1297.187667,1298.214583
1296.881351,1297.648065,1298.414780
1295.836604,1296.711014,1297.585424
1294.497644,1295.521945,1296.546246
1295.590219,1296.373497,1297.156776
1296.566593,1297.699874,1298.833154
1295.629670,1296.809612,1297.989554
1296.413278,1297.191665,1297.970051
1296.938563,1297.848826,1298.759090
1296.029647,1296.976879,1297.924110
1295.909705,1296.713050,1297.516394
1296.524991,1297.891211,1299.257431
1296.741367,1297.334574,1297.927780
1295.032913,1295.808219,1296.583526
1296.595631,1297.973738,1299.351846
1295.360816,1296.257626,1297.154436
1296.225119,1297.090982,1297.956844
1295.336426,1296.471626,1297.606826
1295.156305,1296.081574,1297.006843
1296.490543,1297.175083,1297.859622
1296.854823,1297.989553,1299.124283
1296.072883,1297.119949,1298.167016
1297.799031,1298.731217,1299.663403
1297.034403,1297.979957,1298.925511
1295.065946,1296.177054,1297.288162
1296.676099,1297.522546,1298.368994
1295.228687,1296.243301,1297.257915
1297.761103,1298.538799,1299.316496
1296.200963,1297.096812,1297.992662
1295.771414,1296.576630,1297.381846
1296.702184,1297.503951,1298.305718
1296.186830,1296.987991,1297.789152
1297.476824,1298.122418,1298.768012
1296.477284,1297.351865,1298.226445
1296.220705,1297.147697,1298.074689
1295.548104,1296.550801,1297.553497
1296.552781,1297.449411,1298.346042
1296.115308,1296.878046,1297.640784
1296.516753,1297.448456,1298.380158
1296.769278,1297.716768,1298.664257
1295.528584,1296.642548,1297.756512
1296.726585,1297.551000,1298.375415
1295.140206,1296.314864,1297.489522
1296.312175,1296.783472,1297.254769
1296.897128,1297.834797,1298.772467
1295.752852,1296.816229,1297.879606
1295.818967,1297.107393,1298.395819
1297.190074,1298.252032,1299.313990
1295.919069,1296.522232,1297.125395
1296.860770,1297.503594,1298.146418
1296.232336,1297.215224,1298.198112
1296.372893,1297.188880,1298.004867
1295.830765,1296.793529,1297.756292
1296.926805,1298.002147,1299.077489
1295.612747,1296.549290,1297.485832
1296.553205,1297.326805,1298.100404
1296.377556,1297.228465,1298.079374
1295.491372,1296.888504,1298.285636
1295.850351,1296.684939,1297.519528
1296.381756,1297.156393,1297.931031
1296.009943,1297.187774,1298.365605
1297.064881,1297.921695,1298.778509
1296.459535,1297.353131,1298.246727
1295.014150,1296.390966,1297.767782
1296.248975,1297.179305,1298.109636
1296.774452,1297.721607,1298.668762
1296.669182,1297.806174,1298.943167
1296.197670,1296.919040,1297.640411
1295.874276,1296.654959,1297.435642
1296.215096,1296.932043,1297.648989
1295.960252,1296.847500,1297.734749
1296.615247,1297.412500,1298.209752
1296.227416,1297.200388,1298.173361
1296.007735,1296.896224,1297.784713
1296.062496,1296.860016,1297.657535
1296.886417,1297.684980,1298.483543
1296.386595,1297.369150,1298.351705
1297.344639,1298.284468,1299.224296
1295.194193,1296.101175,1297.008157
1296.724621,1297.439708,1298.154795
1297.061789,1297.823866,1298.585943
1295.075298,1296.291329,1297.507360
1296.554457,1297.251413,1297.948370
1297.087598,1297.835479,1298.583360
1296.807617,1297.436171,1298.064726
1296.552019,1297.198913,1297.845806
1296.027542,1296.824001,1297.620460
1295.257255,1296.141559,1297.025863
1296.251656,1297.320084,1298.388513
1295.687862,1296.549859,1297.411856
1296.129420,1296.880027,1297.630634
1295.706309,1296.512080,1297.317851
1296.161340,1297.267127,1298.372913
1296.314914,1296.949145,1297.583377
1296.851805,1297.675268,1298.498732
1294.823137,1295.963345,1297.103553
1296.505846,1297.154607,1297.803369
1296.051988,1296.923580,1297.795171
1296.701324,1297.722918,1298.744512
1296.498305,1297.165170,1297.832036
1295.952664,1297.215530,1298.478396
1295.571929,1296.923075,1298.274221
1295.862634,1296.648233,1297.433831
1296.394147,1297.087382,1297.780617
1297.436547,1298.388972,1299.341397
1295.759277,1296.456397,1297.153517
1295.863400,1297.188806,1298.514212
1296.374956,1297.522840,1298.670724
1295.108835,1296.014990,1296.921144
1296.558450,1297.317777,1298.077105
1295.915700,1297.026464,1298.137228
1295.888773,1296.430492,1296.972211
1297.459242,1298.385841,1299.312440
1295.341278,1296.104377,1296.867477
1297.204835,1298.053208,1298.901581
1296.697500,1297.728280,1298.759060
1296.477130,1297.224934,1297.972739
1296.315256,1297.381581,1298.447906
1296.496561,1297.236086,1297.975612
1296.315605,1297.450009,1298.584414
1296.668476,1297.591931,1298.515386
1296.001936,1296.962425,1297.922914
1296.521933,1297.112263,1297.702594
1296.387416,1297.088011,1297.788607
1296.018331,1296.857857,1297.697382
1297.066903,1297.713718,1298.360532
1296.136953,1296.895320,1297.653687
1296.187671,1297.247473,1298.307274
1296.319891,1297.260806,1298.201720
1295.362162,1296.488643,1297.615123
1296.322873,1297.260073,1298.197274
1296.313516,1297.457312,1298.601108
1296.707891,1297.449140,1298.190390
1296.714464,1297.503444,1298.292425
1295.720334,1296.891917,1298.063500
1295.979135,1296.919851,1297.860566
1296.314403,1297.264314,1298.214225
1296.918756,1297.702774,1298.486792
1296.970212,1298.091393,1299.212573
1297.210918,1298.159731,1299.108544
1295.886105,1296.763689,1297.641274
1296.326842,1297.205026,1298.083210
1296.591340,1297.412947,1298.234554
1297.657519,1298.579306,1299.501094
1296.329257,1297.357371,1298.385485
1296.256354,1297.324786,1298.393217
1295.823269,1296.788765,1297.754262
1295.654822,1296.532820,1297.410819
1296.581356,1297.538708,1298.496061
1296.658824,1297.486037,1298.313251
1294.809701,1295.915585,1297.021469
1295.473667,1296.600475,1297.727282
1296.291419,1297.040675,1297.789931
1296.462658,1297.271223,1298.079789
1296.965258,1297.888937,1298.812616
1295.611835,1296.410241,1297.208647
1296.125805,1297.015889,1297.905973
1296.824513,1297.594439,1298.364366
1295.396363,1296.343482,1297.290601
1296.538185,1297.374519,1298.210853
1296.907355,1297.689440,1298.471525
1296.566832,1297.316824,1298.066816
1296.633441,1297.382987,1298.132532
1295.960649,1296.903415,1297.846181
1295.961168,1296.867638,1297.774108
1296.630480,1297.459367,1298.288254
1295.596844,1296.609265,1297.621685
1296.255946,1297.109757,1297.963569
1296.887332,1297.655043,1298.422753
1296.248515,1297.283612,1298.318710
1296.220713,1297.254767,1298.288820
1296.385896,1297.290235,1298.194575
1295.146511,1296.507650,1297.868788
1295.919688,1296.694256,1297.468824
1295.936375,1296.819343,1297.702311
1297.228738,1298.149591,1299.070444
1297.361966,1297.987211,1298.612457
1295.826032,1297.404318,1298.982604
1295.124002,1296.250762,1297.377522
1295.138569,1296.110309,1297.082048
1296.129137,1296.992946,1297.856755
1296.608271,1297.678503,1298.748735
1296.175803,1297.209683,1298.243564
1296.545639,1297.754304,1298.962968
1297.081729,1297.964987,1298.848246
1295.989640,1296.938901,1297.888161
1296.588015,1297.392401,1298.196786
1296.543314,1297.186447,1297.829581
1297.382630,1298.072805,1298.762981
1295.149728,1296.035620,1296.921512
1296.775973,1297.731198,1298.686423
1296.944828,1297.745596,1298.546364
1296.902294,1297.839699,1298.777104
1296.078516,1297.117426,1298.156337
1296.191137,1296.995952,1297.800767
1297.265321,1298.392632,1299.519943
1295.045680,1295.912765,1296.779849
1296.346769,1297.357068,1298.367366
1296.132065,1297.074864,1298.017664
1296.677300,1297.391661,1298.106021
1296.316245,1297.304705,1298.293165
1297.019310,1298.022236,1299.025162
1295.813074,1296.704156,1297.595238
1295.747506,1296.687045,1297.626584
1296.382860,1297.290984,1298.199108
1296.262381,1296.925458,1297.588534
1295.856967,1296.731158,1297.605349
1297.168513,1298.323284,1299.478056
1296.849510,1297.528544,1298.207578
1295.023474,1296.069839,1297.116204
1295.654822,1297.179316,1298.703811
1295.129569,1296.022269,1296.914969
1296.946270,1297.813032,1298.679795
1295.662164,1296.584672,1297.507179
1295.868397,1296.787727,1297.707058
1297.350210,1298.303779,1299.257347
1296.532260,1297.453561,1298.374862
1295.190487,1296.189440,1297.188394
1295.923204,1297.012701,1298.102198
1296.406153,1297.213900,1298.021648
1295.874789,1296.798210,1297.721631
1296.235826,1297.350094,1298.464361
1297.022060,1297.817675,1298.613290
1295.935088,1296.927838,1297.920589
1295.906446,1296.621663,1297.336879
1297.071164,1297.655919,1298.240675
1295.753044,1296.830342,1297.907639
1295.880968,1296.978278,1298.075589
1296.762725,1297.546974,1298.331224
1295.597540,1296.562326,1297.527112
1296.568992,1297.734114,1298.899236
1295.859793,1296.722284,1297.584774
1296.544356,1297.397506,1298.250655
1297.096566,1297.882128,1298.667690
1296.432973,1297.310809,1298.188645
1295.881076,1297.000385,1298.119694
1296.275539,1297.213575,1298.151611
1295.978632,1296.689554,1297.400477
1296.237789,1297.313051,1298.388314
1296.074414,1296.996718,1297.919022
1296.552199,1297.317423,1298.082647
1296.964420,1297.666398,1298.368376
1296.249563,1296.954139,1297.658716
1296.276308,1297.063156,1297.850004
1295.788403,1296.489750,1297.191096
1296.593968,1297.517617,1298.441265
1296.650264,1297.294271,1297.938277
1295.774397,1296.594475,1297.414553
1294.883548,1296.487973,1298.092398
1294.102571,1295.446403,1296.790235
1296.228846,1297.170366,1298.111886
1295.851836,1296.611501,1297.371166
1296.363266,1297.858887,1299.354508
1297.615234,1298.635735,1299.656236
1296.390487,1297.536894,1298.683301
1295.588443,1296.550831,1297.513219
1295.781204,1296.798244,1297.815284
1296.747793,1297.658345,1298.568898
1296.773210,1297.529496,1298.285782
1295.325757,1296.570316,1297.814874
1296.497447,1297.601437,1298.705427
1296.260323,1297.276047,1298.291770
1295.916798,1296.881229,1297.845659
1296.996700,1297.944863,1298.893026
1296.883693,1297.458788,1298.033883
1296.058193,1296.973904,1297.889615
1295.532067,1296.451880,1297.371692
1297.996599,1298.809506,1299.622413
1296.582796,1297.872330,1299.161863
1296.215033,1297.422274,1298.629515
1296.084270,1296.865468,1297.646666
1296.094044,1297.369546,1298.645048
1296.742600,1297.602066,1298.461532
1294.671025,1296.106559,1297.542092
1296.635505,1297.505657,1298.375808
1296.432121,1297.520409,1298.608698
1296.731353,1297.468280,1298.205208
1295.729703,1297.062098,1298.394493
1297.717400,1298.795275,1299.873151
1295.563577,1296.423704,1297.283831
1296.785298,1297.741019,1298.696740
1295.605693,1296.870362,1298.135031
1296.019892,1297.214443,1298.408995
1295.776330,1296.573617,1297.370904
1296.707740,1297.806249,1298.904757
1296.974045,1297.989865,1299.005686
1296.310115,1297.218089,1298.126063
1295.433411,1296.705627,1297.977842
1295.713787,1296.641991,1297.570196
